301  01  Licenciado en Economía
301  02  Licenciado en Administración y Dirección de Empresas
301  03  Diplomado en Gestión y Administración Pública
301  04  Licenciado en Ciencias Actuariales y Financieras
302  01  Licenciado en Medicina
303  01  Licenciado en Biología
303  02  Licenciado en Matemáticas
303  03  Licenciado en Química
303  04  Ingeniero Químico
304  01  Licenciado en Historia
304  02  Licenciado en Geografía
304  03  Licenciado en Filología Hispánica
304  04  Licenciado en Filología Inglesa
304  05  Licenciado en Filosofía
304  08  Licenciado en Traducción e Interpretación
304  09  Licenciado en Filología Clásica
304  16  Licenciado en Historia del Arte
305  01  Licenciado en Derecho
306  01  Ingeniero en Informática
306  07  Ingeniero Técnico en Informática de Gestión
306  09  Diplomado en Informática
306  19  Ingeniero Técnico en Informática de Sistemas
307  01  Ingeniero en Telecomunicaciones
307  05  Ingeniero Técnico en Telecomunicaciones (Sistemas Electrónicos)
307  15  Ingeniero Técnico en Telecomunicaciones (Imagen y Sonido)
307  20  Ingeniero Técnico en Telecomunicaciones (Sistemas de Telecomunicación)
308  01  Ingeniero Industrial
308  02  Ingeniero de Organización Industrial
308  03  Ingeniero en Electrónica
308  04  Ingeniero en Automática y Electrónica Industrial
309  01  Licenciado en Comunicación Audiovisual
309  02  Licenciado en Publicidad y Relaciones Públicas
309  03  Licenciado en Periodismo
310  01  Diplomado en Formación del Profesorado de E.G.B.
310  02  Licenciado en Pedagogía
310  03  Maestro en Audición y Lenguaje
310  04  Maestro en Educación Especial
310  05  Maestro en Educación Física
310  06  Maestro en Educación Infantil
310  07  Maestro en Educación Musical
310  08  Maestro en Educación Primaria
310  09  Maestro en Lengua Extranjera
310  16  Licenciado en Psicopedagogía
311  01  Licenciado en Psicología
311  02  Diplomado en Logopedia
